tree_id,dist,region,tree_type,diameter,tree_height,matched,dist_to_health,health_樹木狀況,health_健檢扣分,health_健檢關鍵因子,health_風險結果,health_樹冠頂梢枯死率,health_樹冠缺失率,lng,lat,is_protected,prot_id,prot_name,prot_sci,prot_diam_m,prot_circ_m,prot_loc,prot_mgr
DA0041141102,大安區,和平東路一段,白千層,26.0,8.2,True,0.0017421048832568,P,,,,3.0,18.0,121.53131678276492,25.026227599124063,False,,,,,,,
DA0041141103,大安區,和平東路一段,茄苳,9.0,6.8,True,0.0039964954138845,P,,,,3.0,23.0,121.53146912536236,25.02621522770929,False,,,,,,,
DA0041141104,大安區,和平東路一段,白千層,18.0,9.7,True,0.0095530286417554,P,-27.0,,D級,8.0,38.0,121.53169012834176,25.02620125635101,False,,,,,,,
DA0041141105,大安區,和平東路一段,白千層,26.0,11.0,True,0.0031933484601468,P,,,,3.0,28.0,121.53183572604512,25.026187283628833,False,,,,,,,
DA0041141106,大安區,和平東路一段,白千層,6.0,8.1,True,0.0077507640539728,P,-27.0,,D級,8.0,23.0,121.53191306549824,25.02617626346236,False,,,,,,,
DA0041141108,大安區,和平東路一段,白千層,23.0,10.1,True,0.0041395229377232,P,-24.0,,D級,3.0,18.0,121.532033733698,25.026171678693675,False,,,,,,,
DA0041141110,大安區,和平東路一段,白千層,32.0,10.1,True,0.0035030497230661,P,-28.0,,D級,8.0,23.0,121.53220806960672,25.026158415274917,False,,,,,,,
DA0041141111,大安區,和平東路一段,白千層,44.0,10.7,True,0.0044218444500712,P,-28.0,,D級,8.0,38.0,121.53227739048256,25.026149138967337,False,,,,,,,
DA0041141112,大安區,和平東路一段,白千層,31.0,5.4,True,0.0024288376150994,P,-21.0,,D級,3.0,8.0,121.53236812081232,25.026141411010727,False,,,,,,,
DA0041141113,大安區,和平東路一段,白千層,35.0,11.0,True,0.0076945361586433,P,-26.0,,D級,18.0,38.0,121.53245886398464,25.02613666222551,False,,,,,,,
DA0041141114,大安區,和平東路一段,白千層,25.0,10.9,True,0.0016272623860882,P,-27.0,,D級,8.0,38.0,121.53252710306896,25.026129285577586,False,,,,,,,
DA0041141115,大安區,和平東路一段,茄苳,17.0,10.2,True,0.0040768885989647,P,-28.0,種植範圍土壤面積不足,D級,13.0,33.0,121.53259149729536,25.026126436723676,False,,,,,,,
DA0041141116,大安區,和平東路一段,白千層,27.0,10.3,True,0.0086419815134459,P,-29.0,,D級,8.0,28.0,121.53265686288788,25.026119070311807,False,,,,,,,
DA0041141117,大安區,和平東路一段,白千層,49.0,13.5,True,0.0066930360158587,P,-23.0,,D級,8.0,28.0,121.53273106617088,25.026116095966874,False,,,,,,,
DA0041141118,大安區,和平東路一段,白千層,35.0,10.2,True,0.00224584509397,P,,,,8.0,23.0,121.532968178381,25.026092495193826,False,,,,,,,
DA0041141119,大安區,和平東路一段,白千層,25.0,7.0,True,0.0038409922183691,P,,,,8.0,33.0,121.5330600894524,25.026082866681698,False,,,,,,,
DA0041141120,大安區,和平東路一段,白千層,3.0,6.4,True,0.0061493151222261,P,-28.0,修枝或創傷後無法癒合產生腐朽,D級,3.0,13.0,121.53316625983015,25.02607111050602,False,,,,,,,
DA0041141121,大安區,和平東路一段,白千層,20.0,8.1,True,0.000876882603658894,P,-27.0,,D級,3.0,13.0,121.53324799823616,25.02606919224831,False,,,,,,,
DA0041141122,大安區,和平東路一段,白千層,27.0,8.3,True,0.0022677473256466,P,,,,3.0,13.0,121.533351221774,25.02606340505688,False,,,,,,,
DA0041141124,大安區,和平東路一段,白千層,24.0,8.9,True,0.0021154967394179,P,-25.0,,D級,8.0,18.0,121.5335438791687,25.026047997873388,False,,,,,,,
DA0041141125,大安區,和平東路一段,白千層,31.0,9.9,True,0.0074188605443189,P,-25.0,,D級,3.0,18.0,121.53371296357328,25.026034841823805,False,,,,,,,
DA0041141126,大安區,和平東路一段,白千層,36.0,10.4,True,0.0080017197066488,P,-26.0,,D級,8.0,13.0,121.533822322924,25.02602731693679,False,,,,,,,
DA0041141127-001,大安區,和平東路一段,白千層,8.0,3.0,True,0.006847523563487,,,,,0.0,0.0,121.53388920981271,25.02602806980912,False,,,,,,,
DA0041141128,大安區,和平東路一段,白千層,2.0,5.0,True,0.0026069902320227,P,-23.0,,D級,8.0,8.0,121.5339710764153,25.026009990399125,False,,,,,,,
DA0041141129,大安區,和平東路一段,白千層,2.0,5.8,True,0.0062545689741152,P,-21.0,,D級,8.0,28.0,121.53404803834816,25.026003394249297,False,,,,,,,
DA0041141130,大安區,和平東路一段,茄苳,12.0,6.4,True,0.0082943109658063,P,-26.0,種植範圍土壤面積不足,D級,18.0,23.0,121.53413125593156,25.02599984513479,False,,,,,,,
DA0041141131,大安區,和平東路一段,茄苳,20.0,8.6,True,0.0054494712817459,P,-29.0,種植範圍土壤面積不足,D級,28.0,38.0,121.53421347288564,25.025994042545488,False,,,,,,,
DA0041141132,大安區,和平東路一段,白千層,24.0,8.5,True,0.0056881073103075,P,-28.0,,D級,3.0,18.0,121.53437272227616,25.02597505282881,False,,,,,,,
DA0041141133,大安區,和平東路一段,白千層,21.0,8.9,True,0.0061831993315297,P,-28.0,,D級,13.0,28.0,121.53443825455794,25.02596046255877,False,,,,,,,
DA0041151001,大安區,和平東路一段,白千層,16.0,9.7,True,0.003584634391841,P,-23.0,,D級,0.0,18.0,121.52307707366616,25.027180578282877,False,,,,,,,
DA0041151002,大安區,和平東路一段,楓香,21.0,10.5,True,0.0081873918940172,P,-30.0,種植範圍土壤面積不足,D級,0.0,18.0,121.5231632486131,25.027173142802912,False,,,,,,,
DA0041151003,大安區,和平東路一段,白千層,23.0,12.1,True,0.0036630466934395,P,,,,0.0,43.0,121.52325179894264,25.0271650669439,False,,,,,,,
DA0041151004,大安區,和平東路一段,白千層,33.0,10.3,True,0.0085217822481239,P,-29.0,,D級,0.0,38.0,121.52332568140967,25.027156320425423,False,,,,,,,
DA0041151005,大安區,和平東路一段,白千層,45.0,10.0,True,0.0059635656593071,P,,,,0.0,18.0,121.5233932403344,25.02715183934645,False,,,,,,,
DA0041151006,大安區,和平東路一段,白千層,62.0,14.3,True,0.0058069752785807,P,,,,0.0,23.0,121.52346464868636,25.027143823719275,False,,,,,,,
DA0041151007,大安區,和平東路一段,白千層,48.0,9.5,True,0.00446354046516,P,,,,0.0,18.0,121.52354310097115,25.027137859712695,False,,,,,,,
DA0041151008,大安區,和平東路一段,白千層,79.0,10.1,True,0.0020187624034963,P,-26.0,,D級,0.0,38.0,121.52362780181866,25.02713331814998,False,,,,,,,
DA0041151009,大安區,和平東路一段,白千層,47.0,10.6,True,0.0045531771201327,P,,,,0.0,28.0,121.52372099994696,25.027123058893775,False,,,,,,,
DA0041151010,大安區,和平東路一段,白千層,48.0,9.5,True,0.0083812541667072,P,-26.0,,D級,0.0,28.0,121.52379321896032,25.02711928346269,False,,,,,,,
DA0041151011,大安區,和平東路一段,白千層,68.0,10.5,True,0.0028272767175354,P,,,,3.0,48.0,121.52386781297486,25.027114777377857,False,,,,,,,
DA0041151012,大安區,和平東路一段,白千層,67.0,8.9,True,0.0021759660854369,P,-23.0,,D級,0.0,18.0,121.52402748496831,25.027101214083412,False,,,,,,,
DA0041151013,大安區,和平東路一段,白千層,39.0,8.36,True,0.0030775410421713,,,,,0.0,0.0,121.5241239701392,25.02709500563453,False,,,,,,,
DA0041151014,大安區,和平東路一段,白千層,40.0,10.8,True,0.0028049894252015,P,-27.0,,D級,0.0,23.0,121.52412247234024,25.02709230248416,False,,,,,,,
DA0041151015,大安區,和平東路一段,白千層,47.0,10.0,True,0.0102700300314822,P,-25.0,,D級,0.0,18.0,121.52417726056264,25.02709057451069,False,,,,,,,
DA0041151016,大安區,和平東路一段,白千層,35.0,9.7,True,0.0073981231756165,P,,,,0.0,28.0,121.52422935005616,25.02708334889049,False,,,,,,,
DA0041151017,大安區,和平東路一段,白千層,47.0,11.5,True,0.0046302288147485,P,-24.0,,D級,0.0,23.0,121.52429522596704,25.027079234462185,False,,,,,,,
DA0041151018,大安區,和平東路一段,白千層,47.0,12.3,True,0.0104620764722074,P,-29.0,修枝或創傷後無法癒合產生腐朽,D級,0.0,23.0,121.52445607922014,25.027063860920816,False,,,,,,,
DA0041151019,大安區,和平東路一段,白千層,39.0,15.4,True,0.0071462645552134,P,,,,0.0,23.0,121.52452274780153,25.027059743595125,False,,,,,,,
DA0041151020,大安區,和平東路一段,白千層,30.0,9.7,True,0.0029387401939263,P,-28.0,,D級,3.0,18.0,121.52461772819072,25.02704920664588,False,,,,,,,
DA0041151021,大安區,和平東路一段,白千層,44.0,10.7,True,0.0072853202177596,P,-28.0,,D級,0.0,23.0,121.52469292815888,25.0270474064407,False,,,,,,,
DA0041151022,大安區,和平東路一段,白千層,43.0,13.2,True,0.007146352465406,P,,,,0.0,18.0,121.52482387031316,25.0270352076374,False,,,,,,,
DA0041151023,大安區,和平東路一段,白千層,57.0,9.4,True,0.0094511964046035,P,,,,0.0,23.0,121.52488132268824,25.027030851847904,False,,,,,,,
DA0041151024,大安區,和平東路一段,白千層,36.0,8.3,True,0.0095799460118823,P,,,,0.0,53.0,121.52511113252773,25.027013518748188,False,,,,,,,
DA0041151025,大安區,和平東路一段,白千層,46.0,12.6,True,0.0078060078590359,P,-24.0,,D級,0.0,18.0,121.5251744313533,25.027009232472917,False,,,,,,,
DA0041151026,大安區,和平東路一段,白千層,28.0,9.1,True,0.007681040805815,P,-25.0,,D級,0.0,48.0,121.52523682763804,25.02700242149059,False,,,,,,,
DA0041151027,大安區,和平東路一段,白千層,31.0,13.7,True,0.0048677772623941,P,-27.0,,D級,0.0,13.0,121.5253254886862,25.02699714272039,False,,,,,,,
DA0041151028,大安區,和平東路一段,白千層,40.0,10.0,True,0.0055609387317049,P,,,,0.0,48.0,121.52540245063118,25.026990280191175,False,,,,,,,
DA0041151029,大安區,和平東路一段,白千層,46.0,12.9,True,0.0071285960118823,P,-23.0,,D級,0.0,18.0,121.5254965510234,25.0269825445047,False,,,,,,,
DA0041151030,大安區,和平東路一段,白千層,34.0,10.6,True,0.0060862508385723,P,-24.0,修枝或創傷後無法癒合產生腐朽,D級,0.0,18.0,121.52564760828564,25.026970454425825,False,,,,,,,
DA0041151031,大安區,和平東路一段,白千層,48.0,11.6,True,0.0081766474355444,P,-28.0,,D級,3.0,43.0,121.52570366300364,25.02696366567353,False,,,,,,,
DA0041151032,大安區,和平東路一段,白千層,74.0,13.5,True,0.0056525191085393,P,-27.0,,D級,0.0,18.0,121.52611385809712,25.02693386613899,False,,,,,,,
DA0041151033,大安區,和平東路一段,白千層,94.0,13.8,True,0.0058386068949909,P,,,,0.0,18.0,121.52618331634994,25.026933349437652,True,3305,白千層,Melaleuca cajuputi cumingiana,0.94,2.95,道路、人行道,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管)
DA0041151034,大安區,和平東路一段,白千層,18.0,10.6,True,0.0022323078308393,P,-27.0,,D級,3.0,48.0,121.52625977853263,25.02692549514323,False,,,,,,,
DA0041151035,大安區,和平東路一段,白千層,65.0,8.0,True,0.0087444951124248,P,,,,0.0,13.0,121.52634306532704,25.026914727650883,False,,,,,,,
DA0041151036,大安區,和平東路一段,白千層,18.0,10.0,True,0.0079404939746438,P,-30.0,修枝或創傷後無法癒合產生腐朽,D級,0.0,23.0,121.526453431511,25.02691063528506,False,,,,,,,
DA0041151037,大安區,和平東路一段,白千層,63.0,12.0,True,0.0094876170362411,P,,,,0.0,13.0,121.52651671173584,25.0269020150155,False,,,,,,,
DA0041151038,大安區,和平東路一段,白千層,16.0,4.6,True,0.0064032115937581,P,-16.0,,D級,3.0,83.0,121.52658573971765,25.026893554919344,False,,,,,,,
DA0041151039,大安區,和平東路一段,白千層,41.0,11.0,True,0.0017860781977481,P,-27.0,,D級,0.0,13.0,121.52665538609556,25.026890690024352,False,,,,,,,
DA0041151040,大安區,和平東路一段,白千層,20.0,9.6,True,0.0052277209297517,P,,,,3.0,18.0,121.52671384113214,25.026889128687653,False,,,,,,,
DA0041151041,大安區,和平東路一段,白千層,59.0,13.4,True,0.005787592697066,P,-29.0,,D級,0.0,23.0,121.5268263517099,25.026876722591748,False,,,,,,,
DA0041151042,大安區,和平東路一段,白千層,75.0,15.5,True,0.0094617068405452,P,,,,0.0,23.0,121.5268931253442,25.02687404832918,False,,,,,,,
DA0041151043,大安區,和平東路一段,白千層,61.0,11.5,True,0.0027780687288666,P,-30.0,,D級,0.0,38.0,121.52696810808602,25.026867823974023,False,,,,,,,
DA0041151044,大安區,和平東路一段,白千層,57.0,7.1,True,0.002696333324841,,,,,0.0,0.0,121.5270429763096,25.02685798874592,False,,,,,,,
DA0041151045,大安區,和平東路一段,白千層,61.0,13.9,True,0.0073510287737619,P,-28.0,,D級,0.0,13.0,121.52710340726011,25.026855066034862,False,,,,,,,
DA0041151046,大安區,和平東路一段,白千層,62.0,13.1,True,0.006283027779897,P,,,,0.0,18.0,121.5271957312004,25.02684905091412,False,,,,,,,
DA0041151047,大安區,和平東路一段,白千層,45.0,10.5,True,0.0085015718673031,P,-22.0,,D級,0.0,8.0,121.52729458285285,25.026840213868255,False,,,,,,,
DA0041151048,大安區,和平東路一段,白千層,27.0,4.2,True,0.0036391619389157,P,-18.0,,D級,3.0,68.0,121.52745593155952,25.02682501589305,False,,,,,,,
DA0041151049,大安區,和平東路一段,白千層,38.0,7.2,True,0.0021999677044301,P,-20.0,盤根狀況嚴重,D級,3.0,38.0,121.52752607947605,25.026823593307544,False,,,,,,,
DA0041151050,大安區,和平東路一段,白千層,46.0,10.9,True,0.0051850297745244,P,-26.0,,D級,0.0,18.0,121.52760264096386,25.02681582825274,False,,,,,,,
DA0041151051,大安區,和平東路一段,白千層,47.0,10.1,True,0.0043985793508273,P,,,,0.0,18.0,121.52775943820032,25.026802180881347,False,,,,,,,
DA0041151052,大安區,和平東路一段,白千層,65.0,12.3,True,0.0018388742920842,P,,,,3.0,38.0,121.52783711431952,25.026800189734185,False,,,,,,,
DA0041151053,大安區,和平東路一段,樟樹,26.0,10.4,True,0.0040095161459881,P,-18.0,種植範圍土壤面積不足,D級,0.0,43.0,121.52791772980024,25.026790423939175,False,,,,,,,
DA0041151054,大安區,和平東路一段,白千層,67.0,11.1,True,0.0038871648950089,P,-27.0,,D級,0.0,18.0,121.52805036388288,25.026780112192963,False,,,,,,,
DA0041151055,大安區,和平東路一段,白千層,44.0,8.9,True,0.0045067196346061,P,-27.0,,D級,0.0,18.0,121.52812089805958,25.026776340648393,False,,,,,,,
DA0041151056,大安區,和平東路一段,白千層,69.0,10.8,True,0.006960508697672,P,,,,8.0,13.0,121.52825203113024,25.026762603376756,False,,,,,,,
DA0041151057-001,大安區,和平東路一段,白千層,8.0,7.2,True,0.0029052068099645,P,-15.0,,D級,0.0,23.0,121.52831652374866,25.026759485176985,False,,,,,,,
DA0041151058,大安區,和平東路一段,白千層,41.0,12.7,True,0.0014235958641587,P,,,,0.0,13.0,121.5284770872472,25.026746094507217,False,,,,,,,
DA0041151059,大安區,和平東路一段,白千層,40.0,6.0,True,0.0043451377702154,P,-27.0,,D級,0.0,18.0,121.5285556284036,25.02673787051938,False,,,,,,,
DA0041151060,大安區,和平東路一段,白千層,52.0,9.9,True,0.0055041111096088,P,,,,0.0,43.0,121.5286253683012,25.02673374043613,False,,,,,,,
DA0041151061,大安區,和平東路一段,白千層,25.0,5.5,True,0.0052076588423452,P,-26.0,,D級,3.0,58.0,121.52897848787632,25.026704045698832,False,,,,,,,
DA0041151062,大安區,和平東路一段,白千層,66.0,11.5,True,0.0044763672268191,P,,,,3.0,18.0,121.52906703509856,25.02669542470882,False,,,,,,,
DA0041151063,大安區,和平東路一段,白千層,42.0,10.8,True,0.0024709941582563,P,-29.0,,D級,3.0,33.0,121.52915152443003,25.026687901483825,False,,,,,,,
DA0041151064,大安區,和平東路一段,白千層,41.0,8.4,True,0.0063614749939837,P,-26.0,"樹木可能受到車輛撞擊
樹木主幹傾斜>30度且臨近園路、廣場或為行道樹",D級,3.0,53.0,121.5293371405854,25.02667071918035,False,,,,,,,
DA0041151065,大安區,和平東路一段,白千層,29.0,7.8,True,0.0043310785814146,P,-30.0,,D級,3.0,18.0,121.5294181754304,25.02666636794123,False,,,,,,,
DA0041151066,大安區,和平東路一段,白千層,44.0,9.0,True,0.0035214472701691,P,,,,3.0,18.0,121.52950048405204,25.02665867172319,False,,,,,,,
DA0041151067,大安區,和平東路一段,白千層,46.0,13.8,True,0.0051839270590929,P,-30.0,,D級,3.0,23.0,121.5297491074875,25.026638646300775,False,,,,,,,
DA0041151068,大安區,和平東路一段,白千層,40.0,12.0,True,0.0048317533923437,P,-30.0,,D級,3.0,18.0,121.5298292416041,25.026632221584848,False,,,,,,,
DA0041151069,大安區,和平東路一段,白千層,52.0,14.5,True,0.0019364833191574,P,-30.0,,D級,3.0,23.0,121.5299075929413,25.026625983743298,False,,,,,,,
DA0041151070,大安區,和平東路一段,白千層,42.0,10.9,True,0.0030987253553269,P,,,,3.0,23.0,121.52999783069542,25.02661880066971,False,,,,,,,
DA0041151071,大安區,和平東路一段,白千層,28.0,4.7,True,0.004874799402567,,,,,0.0,0.0,121.53008004830116,25.026613000357184,False,,,,,,,
DA0041151072,大安區,和平東路一段,白千層,39.0,9.2,True,0.0048604350981995,P,,,,3.0,23.0,121.53015206432254,25.026608229475197,False,,,,,,,
DA0041151073-001,大安區,和平東路一段,白千層,80.0,7.0,True,0.0035861570166409,P,-30.0,,D級,3.0,18.0,121.53025082498058,25.02660137697471,False,,,,,,,
DA0041151074,大安區,和平東路一段,白千層,47.0,11.5,True,0.0015235045648728,P,-26.0,,D級,3.0,18.0,121.53034888504136,25.02659290185031,False,,,,,,,
DA0041151075,大安區,和平東路一段,白千層,35.0,7.6,True,0.0066191509337185,P,,,,8.0,23.0,121.53048565387893,25.026576434075448,False,,,,,,,
DA0041151076,大安區,和平東路一段,白千層,47.0,9.7,True,0.0090970490912156,P,,,,8.0,33.0,121.53055390692748,25.026572218114456,False,,,,,,,
DA0041151077,大安區,和平東路一段,白千層,63.0,13.2,True,0.0029373440493552,P,,,,13.0,33.0,121.53062612728525,25.026568890769976,False,,,,,,,
DA0041151078,大安區,和平東路一段,白千層,50.0,14.3,True,0.008636922880713,P,-24.0,,D級,3.0,23.0,121.53069991592756,25.026561585427284,False,,,,,,,
DA0041151079,大安區,和平東路一段,白千層,47.0,10.5,True,0.0049467267895379,P,,,,18.0,38.0,121.5308477080555,25.026550855948045,False,,,,,,,
DA0041151080,大安區,和平東路一段,白千層,48.0,11.9,True,0.0034459087934968,P,-28.0,,D級,3.0,23.0,121.53093576852056,25.02654431204891,False,,,,,,,
DA0041151081,大安區,和平東路一段,白千層,42.0,10.5,True,0.0069677933795105,P,,,,8.0,18.0,121.5310144103874,25.026536537810575,False,,,,,,,
DA0041151082,大安區,和平東路一段,白千層,55.0,11.9,True,0.0091469688690293,P,,,,8.0,18.0,121.5310663161813,25.026532831416965,False,,,,,,,
DA0041151083,大安區,和平東路一段,白千層,44.0,12.3,True,0.0032081422624222,P,-30.0,修枝或創傷後無法癒合產生腐朽,D級,3.0,13.0,121.53115102441292,25.026530181449925,False,,,,,,,
DA0041151084,大安區,和平東路一段,白千層,39.0,10.9,True,0.0043442265541946,P,-27.0,,D級,3.0,18.0,121.53122272869705,25.026522070767335,False,,,,,,,
DA0041151085,大安區,和平東路一段,白千層,26.0,9.2,True,0.0063768201737033,P,,,,3.0,28.0,121.53139963715904,25.026507806005316,False,,,,,,,
DA0041151086,大安區,和平東路一段,白千層,44.0,11.5,True,0.0021896464308031,P,-29.0,,D級,3.0,23.0,121.53147441306938,25.026499684220756,False,,,,,,,
DA0041151087,大安區,和平東路一段,白千層,30.0,6.5,True,0.0086547954459943,P,-26.0,修枝或創傷後無法癒合產生腐朽,D級,3.0,13.0,121.53152515157862,25.026501037576445,False,,,,,,,
DA0041151088,大安區,和平東路一段,白千層,22.0,6.4,True,0.0075624142438852,P,-19.0,,D級,3.0,8.0,121.53158398828435,25.026496132565914,False,,,,,,,
DA0041151089,大安區,和平東路一段,白千層,42.0,12.3,True,0.0018869877684769,P,,,,3.0,8.0,121.53179981400284,25.026476311289027,False,,,,,,,
DA0041151090,大安區,和平東路一段,白千層,49.0,11.8,True,0.0033201232910152,P,,,,8.0,23.0,121.53188637989562,25.02646787627416,False,,,,,,,
DA0041151091,大安區,和平東路一段,白千層,35.0,6.3,True,0.0047467754964768,P,-25.0,,D級,13.0,28.0,121.53206487628356,25.026454237007197,False,,,,,,,
DA0041151092,大安區,和平東路一段,白千層,41.0,5.9,True,0.0010462212062932,P,-21.0,,D級,8.0,33.0,121.53215918990044,25.0264501978698,False,,,,,,,
DA0041151093,大安區,和平東路一段,白千層,33.0,10.5,True,0.0077168069026243,P,,,,3.0,38.0,121.53223813121087,25.02644296359955,False,,,,,,,
